,ingredients,first_ingredient,second_ingredient,third_ingredient,fourth_ingredient
66,"Rice, milk, sugar, cardamom",Rice, milk, sugar, cardamom
67,"Rice, axone, salt, water, chillies, pork",Rice, axone, salt, water
68,"Cauliflower, potato, garam masala, turmeric, curry leaves",Cauliflower, potato, garam masala, turmeric
69,"Rice flour, potato, bread crumbs, garam masala, salt",Rice flour, potato, bread crumbs, garam masala
70,"Potato, peas, chillies, ginger, garam masala, garlic",Potato, peas, chillies, ginger
71,"Potato, fenugreek leaves, chillies, salt, oil",Potato, fenugreek leaves, chillies, salt
72,"Potato, shimla mirch, garam masala, amchur powder, salt",Potato, shimla mirch, garam masala, amchur powder
73,"Chole, rava, yogurt, plain flour, baking soda",Chole, rava, yogurt, plain flour
74,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",Ladies finger, garam masala, kasuri methi, tomatoes
75,"Chicken thighs, basmati rice, star anise, sweet, green chillies",Chicken thighs, basmati rice, star anise, sweet
76,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",Chicken, greek yogurt, cream, garam masala powder
77,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",Chickpeas, tomato paste, garam masala, ginger
78,"Whole wheat flour, olive oil, hot water, all purpose flour",Whole wheat flour, olive oil, hot water, all purpose flour
79,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",Chicken, dahi, sesame seeds, garam masala powder
80,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",Naan bread, tomato sauce, skinless chicken breasts, heavy cream
81,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",Chicken, whole wheat bread, rice flour, garam masala powder
82,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",Chole, bhatura, garam masala, bay leaf
83,"Moong dal, masoor dal, chana dal, wheat flour, almond",Moong dal, masoor dal, chana dal, wheat flour
84,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",Moong dal, garam masala powder, garlic, green chilli
85,"Red kidney beans, urad dal, cream, garam masala, chili powder",Red kidney beans, urad dal, cream, garam masala
86,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",Pigeon peas, garam masala, ginger, red onion
87,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",Baby potatoes, garam masala, cashew nuts, kasuri methi
88,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",Beaten rice flakes, potato, curry leaves, green chilies
89,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",Chana dal, whole wheat flour, arhar dal, white urad dal
90,"Moong dal, rava, garam masala, dough, fennel seeds",Moong dal, rava, garam masala, dough
91,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",Cottage cheese, bell peppers, gravy, garam masala
92,"Besan, garam masala powder, gram flour, ginger, curry leaves",Besan, garam masala powder, gram flour, ginger
93,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",Bitter gourd, fennel, garam masala powder, chili powder
